author_in_publication;text;name;city;type;issue;year_emigration;description;peculiarity;name_part;pages;name_in_russia;year_russia
Шолохов М.А.;Тихий Дон;Возрождение;Париж;газета;№2885;26.04.1933;проза;отрывок;восстание;3;Красная газета;21.04.1933
Ильф И. И Петров Е.;Техника на грани фантастики;Возрождение;Париж;газета;№2944;24.06.1933;проза;полный текст;;5;Крокодил;06.1933
Зощенко М.М.;Преступление и наказание;Возрождение;Париж;газета;№2952;02.07.1933;проза;отрывок;;4;Красная новь;03.1933
Зощенко М.М.;Преступление и наказание;Возрождение;Париж;газета;№2953;03.07.1933;проза;отрывок;;3;Красная новь;03.1933
Зощенко М.М.;Морока;Возрождение;Париж;газета;№3129;26.12.1933;проза;полный текст;;3;Крокодил;12.1933
Зощенко М.М.;Счастливый путь;Возрождение;Париж;газета;№3132;29.12.1933;проза;полный текст;;5;Огонек;20.12.1933
Романов П.;Для удобства публики ;Возрождение;Париж;газета;№3139;05.01.1934;проза;полный текст;;5;Крокодил;121933
Катаев В.;В одной комнате;Возрождение;Париж;газета;№3142;08.01.1934;проза;полный текст;;3;Огонек;20.12.1933
Романов П.;Кукла;Возрождение;Париж;газета;№3164;30.01.1934;проза;полный текст;;4;Крокодил;01.1934
Зощенко М.М.;Подарок;Возрождение;Париж;газета;№3184;20.02.1934;проза;полный текст;;4;Крокодил;01.1934
Ильф И. И Петров Е.;Директивный бантик;Возрождение;Париж;газета;№3216;24.03.1934;проза;полный текст;;4;Правда;19.03.1934
Зощенко М.М.;Анна на шее;Возрождение;Париж;газета;№3226;03.04.1934;проза;полный текст;;4;Крокодил;03.1934
Ильф И. И Петров Е.;Любимый трамвай;Возрождение;Париж;газета;№3235;12.04.1934;проза;полный текст;;2;Правда;07.04.1934
Зощенко М.М.;Неудачный день;Возрождение;Париж;газета;№3290;06.06.1934;проза;отрывок;;3;Красная новь;02.1934
Зощенко М.М.;Неудачный день;Возрождение;Париж;газета;№3292;08.06.1934;проза;отрывок;;3;Красная новь;март.1934
Зощенко М.М.;Неприятная история;Возрождение;Париж;газета;№3300;16.06.1934;проза;полный текст;;4;Известия ;12.06.1934
Зощенко М.М.;Забавное приключение;Возрождение;Париж;газета;№3478;11.12.1934;проза;полный текст;;3—4;Голубая книга;
Шолохов М.А.;Тихий Дон;Возрождение;Париж;газета;№3569;12.03.1935;проза;отрывок;Глава из 4 части романа;3—4;Известия ;06.03.1935
Ильф И. И Петров Е.;Широкий размах;Возрождение;Париж;газета;№3605;17.04.1935;проза;полный текст;;3;Правда;12.04.1935
Ильф И. И Петров Е.;Театральная история ;Возрождение;Париж;газета;№3623;05.05.1935;проза;полный текст;;5;Крокодил;04.1935
